,stream_date,value
0,2023-03-20,3509.0
1,2023-03-20,3607.0
2,2023-03-20,3656.0
3,2023-03-20,3688.0
4,2023-03-20,3813.0
5,2023-03-20,3786.0
6,2023-03-20,3548.0
7,2023-03-20,3831.0
8,2023-03-20,3773.0
9,2023-03-20,3555.0
10,2023-03-20,3652.0
11,2023-03-20,3939.0
12,2023-03-20,3738.0
13,2023-03-20,4017.0
14,2023-03-20,4198.0
15,2023-03-20,4307.0
16,2023-03-20,4415.0
17,2023-03-20,4069.0
18,2023-03-20,4305.0
19,2023-03-20,3949.0
20,2023-03-20,4187.0
21,2023-03-20,3946.0
22,2023-03-20,4422.0
23,2023-03-20,4043.0
24,2023-03-20,4117.0
25,2023-03-20,3929.0
26,2023-03-20,4238.0
27,2023-03-20,3928.0
28,2023-03-20,3951.0
29,2023-03-20,4254.0
30,2023-03-20,3980.0
31,2023-03-20,4243.0
32,2023-03-20,4175.0
33,2023-03-20,4035.0
34,2023-03-20,3900.0
35,2023-03-20,3940.0
36,2023-03-20,4094.0
37,2023-03-20,4479.0
38,2023-03-20,3970.0
39,2023-03-20,4466.0
40,2023-03-20,3921.0
41,2023-03-20,4110.0
42,2023-03-20,4491.0
43,2023-03-20,3953.0
44,2023-03-20,4182.0
45,2023-03-20,4143.0
46,2023-03-20,3932.0
47,2023-03-20,4162.0
48,2023-03-20,4488.0
49,2023-03-20,4173.0
50,2023-03-20,4417.0
51,2023-03-20,4355.0
52,2023-03-20,4095.0
53,2023-03-20,4458.0
54,2023-03-20,3965.0
55,2023-03-20,4113.0
56,2023-03-20,4406.0
57,2023-03-20,4622.0
58,2023-03-20,4494.0
59,2023-03-20,4708.0
60,2023-03-20,4431.0
61,2023-03-31,1324.0
62,2023-03-31,1327.0
63,2023-03-31,1270.0
64,2023-03-31,1275.0
65,2023-03-31,17572.0
66,2023-03-31,17060.0
67,2023-03-31,16762.0
68,2023-03-31,18636.0
69,2023-03-31,17358.0
70,2023-04-15,16389.0
71,2023-04-15,17503.0
72,2023-04-15,16747.0
73,2023-04-15,18709.0
74,2023-04-15,16664.0
75,2023-04-15,18789.0
76,2023-04-15,17853.0
77,2023-04-15,17321.0
78,2023-04-15,17293.0
79,2023-04-15,16907.0
80,2023-04-15,17528.0
81,2023-04-15,17762.0
82,2023-04-15,18837.0
83,2023-04-15,16535.0
84,2023-04-15,18857.0
85,2023-04-15,16537.0
86,2023-04-15,17417.0
87,2023-04-15,18644.0
88,2023-04-15,18143.0
89,2023-04-15,17703.0
90,2023-04-15,18669.0
91,2023-04-15,17834.0
92,2023-04-15,17321.0
93,2023-04-15,16565.0
94,2023-04-15,17032.0
95,2023-04-15,16388.0
96,2023-04-15,18064.0
97,2023-04-15,17244.0
98,2023-04-15,18573.0
99,2023-04-15,16863.0
100,2023-04-15,16928.0
101,2023-04-15,16475.0
102,2023-04-15,16888.0
103,2023-04-15,18235.0
104,2023-04-15,17022.0
105,2023-04-15,18329.0
106,2023-04-15,16708.0
107,2023-04-15,18525.0
