,stream_date,value
0,2023-04-25,18750.0
1,2023-04-25,17828.0
2,2023-04-25,16419.0
3,2023-04-25,18531.0
4,2023-04-25,17986.0
5,2023-04-25,18612.0
6,2023-04-25,18209.0
7,2023-04-25,16370.0
8,2023-04-25,17635.0
9,2023-04-25,17058.0
10,2023-04-25,16295.0
11,2023-04-25,16891.0
12,2023-04-25,16346.0
13,2023-04-25,17599.0
14,2023-04-25,16820.0
15,2023-04-25,18554.0
16,2023-04-25,17611.0
17,2023-04-25,17496.0
18,2023-04-25,16901.0
19,2023-04-25,16658.0
20,2023-04-25,17902.0
21,2023-04-25,17891.0
22,2023-04-25,16659.0
23,2023-04-25,17626.0
24,2023-04-25,17440.0
25,2023-04-25,17221.0
26,2023-04-25,17743.0
27,2023-04-25,18755.0
28,2023-04-25,18485.0
29,2023-04-25,18145.0
30,2023-04-25,18407.0
31,2023-04-25,18370.0
32,2023-04-25,16987.0
33,2023-04-25,17418.0
34,2023-04-25,17153.0
35,2023-04-25,18041.0
36,2023-04-25,17375.0
37,2023-04-25,17836.0
38,2023-04-25,18836.0
39,2023-04-25,17470.0
40,2023-04-25,18016.0
41,2023-04-25,17782.0
42,2023-04-25,16956.0
43,2023-04-25,18275.0
44,2023-04-25,16841.0
45,2023-04-25,17999.0
46,2023-04-25,16676.0
47,2023-04-25,18180.0
48,2023-04-25,16293.0
49,2023-04-25,17363.0
50,2023-04-25,17200.0
51,2023-04-25,17424.0
52,2023-04-25,18111.0
53,2023-04-25,17024.0
54,2023-04-25,17163.0
55,2023-04-25,17085.0
56,2023-04-25,16736.0
57,2023-04-25,17260.0
58,2023-04-25,17886.0
59,2023-04-25,18826.0
60,2023-04-25,18774.0
61,2023-04-25,17189.0
62,2023-04-25,16707.0
63,2023-04-25,18201.0
64,2023-04-25,17650.0
65,2023-04-25,18064.0
66,2023-04-25,16762.0
67,2023-04-25,17796.0
68,2023-04-25,16994.0
69,2023-04-25,17892.0
70,2023-04-25,16507.0
71,2023-04-25,18118.0
72,2023-04-25,18381.0
73,2023-04-25,16842.0
74,2023-04-25,16683.0
75,2023-04-25,18152.0
76,2023-04-25,18386.0
77,2023-04-25,17711.0
78,2023-04-25,18371.0
79,2023-04-25,17426.0
80,2023-04-25,16490.0
81,2023-04-25,17382.0
82,2023-04-25,17583.0
83,2023-04-25,16782.0
84,2023-04-25,18619.0
85,2023-04-25,18218.0
86,2023-04-25,16836.0
87,2023-04-25,16435.0
88,2023-04-25,16542.0
89,2023-04-25,18159.0
90,2023-04-25,17403.0
91,2023-04-25,17233.0
92,2023-04-25,17761.0
93,2023-04-25,18621.0
94,2023-04-25,17003.0
95,2023-04-25,18674.0
96,2023-04-25,16550.0
97,2023-04-25,16331.0
98,2023-04-25,18785.0
99,2023-04-25,18039.0
100,2023-04-25,17380.0
101,2023-04-25,17279.0
102,2023-04-25,17118.0
103,2023-04-25,18037.0
104,2023-04-25,17255.0
105,2023-04-25,18104.0
106,2023-04-25,18482.0
107,2023-04-25,17510.0
108,2023-04-25,16956.0
109,2023-04-25,17271.0
110,2023-04-25,16775.0
111,2023-04-25,17196.0
112,2023-04-25,18508.0
113,2023-04-25,17602.0
114,2023-04-25,16299.0
115,2023-04-25,16820.0
116,2023-04-25,18600.0
117,2023-04-25,18045.0
118,2023-04-25,18402.0
119,2023-04-25,18534.0
120,2023-04-25,16478.0
121,2023-04-25,17390.0
122,2023-04-25,17897.0
123,2023-04-25,17793.0
124,2023-04-25,16600.0
125,2023-04-25,18238.0
126,2023-04-25,18604.0
127,2023-04-25,18296.0
128,2023-04-25,16802.0
129,2023-04-25,16887.0
130,2023-04-25,16797.0
131,2023-04-25,18461.0
132,2023-04-25,17770.0
133,2023-04-25,17765.0
134,2023-04-25,16658.0
135,2023-04-25,18712.0
136,2023-04-25,16906.0
137,2023-04-25,16945.0
138,2023-04-25,16819.0
139,2023-04-25,18696.0
140,2023-04-25,18024.0
141,2023-04-25,17708.0
142,2023-04-25,18792.0
143,2023-04-25,16573.0
144,2023-04-25,16292.0
145,2023-04-25,18081.0
146,2023-04-25,16494.0
147,2023-04-25,17055.0
148,2023-04-25,16821.0
149,2023-04-25,17372.0
150,2023-04-25,18305.0
151,2023-04-25,16752.0
152,2023-04-25,17558.0
153,2023-04-25,16345.0
154,2023-04-25,17041.0
155,2023-04-25,17117.0
156,2023-04-25,17556.0
157,2023-04-25,16697.0
158,2023-04-25,16793.0
159,2023-04-25,16365.0
160,2023-04-25,18164.0
161,2023-04-25,17054.0
162,2023-04-25,17390.0
163,2023-04-25,16414.0
164,2023-04-25,16968.0
165,2023-04-25,16959.0
166,2023-04-25,17261.0
167,2023-04-25,17247.0
168,2023-04-25,17889.0
169,2023-04-25,17677.0
170,2023-04-25,17285.0
171,2023-04-25,17825.0
172,2023-04-25,16752.0
173,2023-04-25,18217.0
174,2023-04-25,17580.0
175,2023-04-25,17838.0
176,2023-04-25,17907.0
177,2023-04-25,18400.0
178,2023-04-25,18255.0
179,2023-04-25,17508.0
180,2023-04-25,16829.0
181,2023-04-25,16571.0
182,2023-04-25,16427.0
183,2023-04-25,18022.0
184,2023-04-25,16578.0
185,2023-04-25,18696.0
186,2023-04-25,18145.0
187,2023-04-25,18196.0
188,2023-04-25,17569.0
189,2023-04-25,17096.0
190,2023-04-25,17821.0
191,2023-04-25,16587.0
192,2023-04-25,18460.0
193,2023-04-25,17597.0
194,2023-04-25,16427.0
195,2023-04-25,17119.0
196,2023-04-25,18338.0
197,2023-04-25,17754.0
198,2023-04-25,18393.0
199,2023-04-25,18521.0
200,2023-04-25,17133.0
201,2023-04-25,18034.0
202,2023-04-25,18185.0
203,2023-04-25,16568.0
204,2023-04-25,17553.0
205,2023-04-25,17429.0
206,2023-04-25,16831.0
207,2023-04-25,18553.0
208,2023-04-25,18216.0
209,2023-04-25,18795.0
210,2023-04-25,17638.0
211,2023-04-25,18605.0
212,2023-04-25,18026.0
213,2023-04-25,17700.0
214,2023-04-25,16416.0
215,2023-04-25,16886.0
216,2023-04-25,17687.0
217,2023-04-25,16409.0
218,2023-04-25,17256.0
219,2023-04-25,17893.0
220,2023-04-25,16592.0
221,2023-04-25,18108.0
222,2023-04-25,17824.0
223,2023-04-25,17359.0
224,2023-04-25,17984.0
225,2023-04-25,18454.0
226,2023-04-25,17160.0
227,2023-04-25,18629.0
228,2023-04-25,17084.0
229,2023-04-25,18564.0
230,2023-04-25,17368.0
231,2023-04-25,16711.0
232,2023-04-25,18775.0
233,2023-04-25,16977.0
234,2023-04-25,18839.0
235,2023-04-25,17455.0
236,2023-04-25,16725.0
237,2023-04-25,18653.0
238,2023-04-25,16764.0
239,2023-04-25,16884.0
240,2023-04-25,17169.0
241,2023-04-25,16867.0
242,2023-04-25,18625.0
243,2023-04-25,18680.0
244,2023-04-25,17579.0
245,2023-04-25,16523.0
246,2023-04-25,16693.0
247,2023-04-25,16644.0
248,2023-04-25,17825.0
249,2023-04-25,17329.0
250,2023-04-25,18285.0
251,2023-04-25,16988.0
252,2023-04-25,16951.0
