,date,value
0,2023-04-15 14:54:13.783093,2928088.0
1,2023-04-15 14:54:14.897662,2928088.0
2,2023-04-15 14:54:15.919152,2928088.0
3,2023-04-15 14:54:17.243161,2928088.0
4,2023-04-15 14:54:18.120328,2928088.0
5,2023-04-15 14:54:19.359136,2928088.0
6,2023-04-15 14:54:20.434780,2928088.0
7,2023-04-15 14:54:22.742314,2928088.0
8,2023-04-15 14:54:23.997332,2928088.0
9,2023-04-15 14:54:25.368498,2928088.0
10,2023-04-15 14:54:27.021539,2928088.0
11,2023-04-15 14:54:27.832184,2928088.0
12,2023-04-15 14:54:28.939545,2928088.0
13,2023-04-15 14:54:29.718722,2928088.0
14,2023-04-15 14:54:30.582994,2928088.0
15,2023-04-15 14:54:31.393999,2928088.0
16,2023-04-15 14:54:32.375437,2928088.0
17,2023-04-15 14:54:33.489110,2928088.0
18,2023-04-15 14:54:34.594736,2928088.0
19,2023-04-15 14:54:35.149715,2928088.0
20,2023-04-15 14:54:36.015483,2928088.0
21,2023-04-15 14:54:36.557124,2928088.0
22,2023-04-15 14:54:37.382504,2928088.0
23,2023-04-15 14:54:38.271442,2928088.0
24,2023-04-15 14:54:39.322324,2928088.0
25,2023-04-15 14:54:40.454682,2928088.0
26,2023-04-15 14:54:41.838790,2928088.0
27,2023-04-15 14:54:43.077251,2928088.0
28,2023-04-15 14:54:44.219002,2928088.0
29,2023-04-15 14:54:45.025242,2928088.0
30,2023-04-15 14:54:45.810435,2928088.0
31,2023-04-15 14:54:46.580130,2928088.0
32,2023-04-15 14:54:47.689931,2928088.0
33,2023-04-15 14:54:50.234203,2928088.0
34,2023-04-15 14:54:52.301083,2928088.0
35,2023-04-15 14:54:53.155912,2928088.0
36,2023-04-15 14:54:54.760701,2928088.0
37,2023-04-15 14:54:55.490890,2928088.0
38,2023-04-15 14:54:57.063618,2928088.0
39,2023-04-15 14:54:57.887813,2928088.0
40,2023-04-15 14:54:58.404421,2928088.0
41,2023-04-15 14:55:00.404967,2928089.0
42,2023-04-15 14:55:00.925262,2928089.0
43,2023-04-15 14:55:02.169993,2928089.0
44,2023-04-15 14:55:02.961219,2928089.0
45,2023-04-15 14:55:05.644106,2928089.0
46,2023-04-15 14:55:06.740657,2928089.0
